05/16/2023, SALEM POND, TIGER TROUT, 10.19, 999
05/15/2023, HIGHLAND GLEN PARK P, RAINBOW, 11.16, 203
05/15/2023, MANILA CREEK PARK POND, RAINBOW, 9.53, 468
05/15/2023, POLE CANYON PARK POND, RAINBOW, 10.14, 252
05/15/2023, SPANISH OAKS P, RAINBOW, 9.53, 500
05/10/2023, HIGHLAND GLEN PARK P, WIPER, 7.32, 349
05/09/2023, SALEM POND, RAINBOW, 9.87, 900
05/09/2023, SALEM POND, RAINBOW, 9.87, 900
05/08/2023, BARTHOLOMEW PARK POND, RAINBOW, 9.9, 702
05/08/2023, VIVIAN PARK P, RAINBOW, 9.9, 1001
05/08/2023, WILLOW CREEK POND, RAINBOW, 9.53, 500
